protocol,model,MAE_z,RMSE_z,R2,raw_macro_MAE,raw_macro_RMSE
random-mask,2010-carry-forward,0.7305,1.1844,-2.1442,11.2306,16.0808
random-mask,city-mean,0.617,0.8995,0.073,10.3911,15.048
random-mask,inverse-distance,0.4156,0.6387,0.448,9.5846,15.1759
random-mask,ridge,0.4396,0.6628,0.4329,8.1134,12.0319
random-mask,non-spatial-mlp,0.5303,0.7472,0.2377,6.9123,10.1479
random-mask,gat,0.3612,0.5839,0.5812,6.667,9.912
random-mask,gat-ablation,0.3718,0.6124,0.5482,6.7635,10.1368
held-city,2010-carry-forward,0.7254,1.1229,-1.0988,10.6406,15.8545
held-city,city-mean,0.7169,1.0277,-0.2937,11.9855,17.8728
held-city,inverse-distance,0.7169,1.0277,-0.2937,11.9855,17.8728
held-city,ridge,0.9833,1.2018,-2.1729,15.6708,20.7715
held-city,non-spatial-mlp,1.8821,2.2814,-12.2529,21.8531,26.1645
held-city,gat,0.4437,0.7439,0.3284,8.5179,14.3173
held-city,gat-ablation,0.449,0.756,0.3153,8.3636,14.7795
block-mask,2010-carry-forward,0.7333,1.139,-1.5831,11.2181,16.9589
block-mask,city-mean,0.644,0.9457,-0.1315,10.466,17.1859
block-mask,inverse-distance,0.6477,0.9504,-0.1412,11.1451,18.2597
block-mask,ridge,0.4586,0.7219,0.2646,8.4631,14.9264
block-mask,non-spatial-mlp,0.5552,0.8335,-0.0564,7.1598,12.6355
block-mask,gat,0.3973,0.6747,0.4377,7.5305,13.4632
block-mask,gat-ablation,0.4012,0.6826,0.4274,7.4437,13.2392
